c MST generated by Kruskal's Algorithm using Quick Sort
e 10634 29917 229
e 981 32229 229
e 11053 25357 230
e 18002 23024 230
e 13 33996 230
e 8865 33151 230
e 20366 38320 230
e 2763 19885 230
e 7965 37641 231
e 15337 38290 231
e 2790 7153 231
e 811 1256 231
e 18923 36536 231
e 1588 35035 231
e 12012 33943 231
e 3900 30410 232
e 9500 37100 232
e 6140 23734 232
e 535 892 232
e 2667 13504 232
e 25811 26104 232
e 27055 37898 232
e 17138 21095 232
e 7509 28733 233
e 21627 23696 233
e 6777 17063 233
e 18780 24796 233
e 2592 36664 233
e 2553 27642 234
e 5405 12401 234
e 24598 26462 234
e 8263 9391 234
e 3376 34803 235
e 7053 33847 235
e 2306 4862 235
e 10080 16815 236
e 770 39414 236
e 9182 11082 236
e 3399 23530 236
e 9551 35672 236
e 3574 32253 236
e 1384 18354 236
e 2914 6973 237
e 18519 26347 237
e 33368 39465 237
e 10750 31911 237
e 725 24584 237
e 35925 38809 237
e 34494 35061 237
e 4868 33703 238
e 13512 18779 238
e 26388 34707 238
e 1262 32258 238
e 3319 21156 238
e 4612 35478 238
e 24572 39404 238
e 20147 21178 239
e 9609 33448 239
e 719 8386 240
e 11845 30996 241
e 24648 25635 241
e 22731 34216 241
e 4089 32082 241
e 961 12945 241
e 14691 19852 241
e 2089 27940 242
e 37048 38698 243
e 9500 30272 243
e 18092 28601 243
e 19555 25143 243
e 94 32321 244
e 12939 20314 244
e 16442 29922 244
e 9396 11439 244
e 25898 29426 244
e 10169 23898 244
e 17240 19965 245
e 21332 23077 245
e 1509 3586 245
e 19493 26030 245
e 9270 23914 246
e 7373 31050 246
e 8858 20458 246
e 18940 33139 246
e 567 15865 247
e 16834 21191 247
e 33674 37759 247
e 19157 25737 247
e 1166 25884 247
e 26018 29490 248
e 2808 25730 248
e 35285 35383 248
e 19820 24377 248
e 3430 20705 248
e 2732 11753 248
e 6694 9338 248
e 10354 38372 248
e 17058 27528 249
e 148 2511 249
e 2830 29195 249
e 264 279 249
e 7871 24455 249
e 7410 33050 250
e 1216 36052 250
e 1789 14147 250
e 19742 29218 250
e 12834 25176 250
e 18007 36776 251
e 13080 23531 251
e 14199 39873 251
e 6872 33382 251
e 10320 29352 252
e 4300 30104 252
e 23329 35079 252
e 17031 33177 252
e 8555 13038 252
e 9242 25331 252
e 1317 36658 252
e 24425 34676 252
e 26305 36727 252
e 7557 9608 253
e 15249 18740 254
e 683 23881 255
e 1923 24381 255
e 8324 8555 255
e 3633 6631 255
e 1287 36164 256
e 27909 28894 256
e 28233 33082 256
e 27392 33692 256
e 719 4508 256
e 25545 38815 256
e 13368 32369 256
e 20338 24205 257
e 1775 20969 257
e 1162 15328 258
e 19169 34163 258
e 457 27052 259
e 26375 35207 259
e 10140 26168 259
e 4232 4285 259
e 1859 5469 259
e 12052 38839 260
e 2306 36798 260
e 14926 27416 260
e 661 7851 260
e 220 24409 261
e 7595 21900 261
e 30180 38502 261
e 3198 34047 261
e 38801 39381 261
e 1705 23820 262
e 201 27223 262
e 6872 31461 262
e 18594 33705 262
e 6358 14754 263
e 13568 17237 263
e 5467 26772 263
e 7130 18516 264
e 16564 26513 264
e 22672 29448 264
e 35407 38087 264
e 1318 3207 264
e 22091 24214 264
e 1898 36119 265
e 28592 34057 265
e 6671 8860 265
e 337 746 265
e 7254 21842 266
e 17421 23408 266
e 6992 23007 266
e 32987 39226 266
e 26445 27093 266
e 4717 9554 266
e 265 856 266
e 29451 30152 267
e 9060 38507 267
e 5900 12300 267
e 31160 33567 267
e 8216 13289 267
e 24345 35016 267
e 16189 25257 267
e 669 1670 268
e 14528 28770 268
e 7087 17225 268
e 16628 18297 268
e 2031 32953 268
e 10166 12327 269
e 27960 34744 269
e 16285 39358 269
e 17651 36197 269
e 19465 28071 269
e 271 582 269
e 10056 35912 269
e 16869 28570 270
e 14046 36825 270
e 16412 36251 271
e 31443 35967 271
e 23726 36286 272
e 11162 13840 272
e 2820 26661 272
e 22934 33171 272
e 7259 20938 272
e 2461 23994 272
e 12302 24052 272
e 15338 31524 272
e 29347 32955 272
e 4759 30934 273
e 5353 23592 273
e 5041 11515 273
e 8365 35050 273
e 6613 15775 274
e 18690 28433 274
e 16242 26366 274
e 6556 29678 274
e 3708 38668 274
e 33054 35632 274
e 21379 23651 275
e 4929 27390 275
e 132 2703 275
e 6129 10920 276
e 1352 18514 276
e 9108 39767 276
e 8690 21066 277
e 9014 39817 278
e 3598 19828 278
e 14859 39103 278
e 3826 35869 278
e 28479 32408 278
e 10423 22445 279
e 16032 28277 279
e 1345 26189 279
e 19372 34813 279
e 724 1772 279
e 2560 39884 280
e 13443 36614 280
e 19339 32402 280
e 286 12867 280
