c MST generated by Kruskal's Algorithm using Quick Sort
e 36385 68246 19
e 54470 58457 19
e 51560 83345 19
e 4822 32331 19
e 9623 65008 19
e 7015 44454 19
e 45254 89033 19
e 3550 99443 19
e 61186 95468 19
e 36828 92303 19
e 18520 49039 19
e 33340 82873 19
e 25255 33166 19
e 157 85177 19
e 25614 74614 19
e 208 4932 19
e 13983 42713 19
e 23901 59552 19
e 64217 86664 19
e 38680 80396 19
e 550 93289 19
e 16680 43663 19
e 10678 33134 19
e 26443 96778 19
e 2150 92387 19
e 39893 61143 19
e 35642 84171 19
e 22551 48194 19
e 64725 78379 19
e 19257 23690 19
e 47080 86265 19
e 47070 83551 19
e 10612 53904 19
e 73878 87170 19
e 19691 82086 19
e 76876 95224 19
e 41460 53801 19
e 72467 99281 19
e 92353 99440 19
e 41987 82174 19
e 80957 82561 19
e 3308 20356 19
e 22917 24105 19
e 37931 65328 19
e 96884 97010 19
e 7094 81948 19
e 2945 50909 19
e 33680 73395 19
e 20227 28827 19
e 88076 95035 20
e 49233 95931 20
e 22277 47661 20
e 22426 89855 20
e 31205 86036 20
e 25362 88734 20
e 34099 92424 20
e 9033 64433 20
e 3890 75825 20
e 11972 12758 20
e 24952 46001 20
e 1659 75988 20
e 47707 74375 20
e 7381 62255 20
e 12509 42327 20
e 22880 52005 20
e 46270 94514 20
e 25781 91111 20
e 24775 28298 20
e 89957 93079 20
e 13128 77100 20
e 13301 24722 20
e 28347 60936 20
e 67720 95128 20
e 37018 39563 20
e 13968 91560 20
e 17036 24708 20
e 44040 79125 20
e 52090 54680 20
e 2373 60802 20
e 65463 72473 20
e 3361 24783 20
e 574 3968 20
e 24592 98213 20
e 14967 16567 20
e 62274 97754 20
e 29427 53993 20
e 52637 55292 20
e 64407 73731 20
e 92451 97227 20
e 74154 92925 20
e 32513 98756 20
e 38897 53475 20
e 8769 44894 20
e 16045 56842 20
e 39682 87483 20
e 64927 88204 20
e 75583 92912 20
e 39437 50456 20
e 11113 60853 20
e 4706 14394 20
e 34248 74642 20
e 27513 65285 20
e 22400 89460 20
e 49327 62808 20
e 11478 65793 20
e 81056 87641 21
e 6196 25796 21
e 87149 91332 21
e 3720 22720 21
e 15012 83192 21
e 39714 65592 21
e 62300 66512 21
e 56228 86686 21
e 11377 19976 21
e 2726 19310 21
e 15396 40296 21
e 54675 97324 21
e 12665 94879 21
e 1829 42577 21
e 15557 54362 21
e 33048 81384 21
e 38518 50827 21
e 15621 59793 21
e 67066 71645 21
e 9478 24349 21
e 35513 51804 21
e 5496 55464 21
e 5748 34904 21
e 713 54315 21
e 35490 73968 21
e 80620 91395 21
e 10690 89665 21
e 4440 92126 21
e 27996 28513 21
e 7914 39911 21
e 51893 54857 21
e 18264 79102 21
e 37287 88738 21
e 28788 29974 21
e 2521 65471 21
e 13805 69627 21
e 16519 23108 21
e 7522 73421 21
e 38847 58426 21
e 52052 87565 21
e 18177 99753 21
e 4402 63120 21
e 18558 80699 21
e 61389 61697 21
e 26572 28631 21
e 134 13299 21
e 13199 17984 21
e 16463 48922 21
e 87608 87743 21
e 21767 65185 21
e 929 46968 21
e 82481 87417 21
